Year  Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec
1940  1.82  1.55  1.87  2.06  1.76  2.07  1.82  1.31  1.09  1.28  1.55  2.68
1941  2.67  2.86  2.43  2.31  2.07  2.83  3.01  3.22  2.04  1.14  1.51  2.21
1942  2.48  1.96  1.11  0.97  0.53  0.77  0.58  0.60  0.37  0.23 -0.13 -0.93
1943 -1.62 -0.70  0.32  1.28  0.58 -0.14 -0.22 -1.88 -1.61 -1.48 -0.18  1.98
1944  1.58  0.25 -0.53 -0.87 -1.76 -2.10 -1.49 -1.00 -1.94 -1.50 -0.81 -0.48
1945 -0.09 -0.34 -0.06 -0.37 -0.38  0.16  0.31 -0.61 -0.57 -0.42 -1.34 -1.99
1946 -1.10  0.67  0.73  0.67 -0.45 -0.63 -0.07 -0.17 -0.15 -1.23 -1.82 -1.66
1947 -0.15  0.22  0.31  0.10 -0.36  0.67  0.78  0.61  0.40  1.39  0.61  0.43
1948  0.27 -0.32 -1.11 -1.13 -1.78  0.01 -0.10 -1.07 -1.07 -1.74 -0.92 -1.85
1949 -2.82 -3.17 -1.82 -1.54 -1.37 -1.21 -1.48 -1.61 -1.60 -2.29 -1.08 -0.93
1950 -1.61 -2.17 -1.89 -1.99 -3.19 -2.52 -3.65 -2.98 -2.40 -1.92 -1.45 -1.06
1951 -1.19 -1.52 -1.72 -1.35 -1.29 -1.77 -0.23 -1.76 -0.78 -0.09 -0.31 -1.45
1952 -2.19 -1.35 -1.67 -1.92 -2.07 -2.13 -2.05 -1.58 -1.36 -0.91 -0.53 -0.83
1953 -0.16 -0.46 -1.27 -0.90 -0.55 -0.20  0.06 -0.92 -1.11 -1.48 -0.51 -0.18
1954 -1.13 -0.95 -1.15 -1.25 -0.76  0.49 -0.08 -0.32 -1.05  0.02  0.85  0.49
1955 -0.23 -1.01 -1.24 -2.21 -1.89 -2.18 -2.75 -2.66 -2.48 -3.35 -2.63 -2.20
1956 -2.26 -2.28 -2.93 -2.55 -1.62 -1.98 -1.48 -1.00 -0.28 -1.66 -2.44 -1.27
1957 -1.31 -1.57 -0.83 -0.81 -0.02  1.53  0.59  0.34  1.84  1.72  1.54  0.46
1958  0.83  0.94  0.62  0.56  1.46  1.82  0.61  1.06  0.77  0.28  0.28  1.14
1959  1.04  0.35 -0.14 -0.16 -0.13  0.23 -0.42 -0.31 -0.53  0.96  1.38  1.02
1960  0.24  0.61  0.23  0.21  0.35  1.20 -0.42 -0.31 -0.96 -0.34 -0.34  0.00
1961  0.89  0.92  0.64  0.28 -0.54 -0.70 -1.23 -0.87 -1.34 -1.78 -1.43 -1.73
1962 -1.00 -0.87 -1.06 -0.95 -1.30 -1.71 -1.83 -0.66 -1.47 -1.76 -0.38 -0.23
1963  0.12  0.15 -0.28 -0.27 -1.26 -0.60 -1.11 -1.01  1.08  0.34 -0.50  0.45
1964  0.34  0.21 -0.71 -1.27 -2.39 -0.86 -1.08 -1.60 -1.35 -0.64 -0.68 -0.62
1965 -0.95 -0.61 -0.17 -0.01 -0.66 -0.76 -0.74  0.32  0.83  0.30  0.47  0.25
1966 -0.67 -0.43 -1.00 -0.37 -0.76  0.10  0.01 -0.29 -0.35 -0.60 -0.71 -0.21
1967 -0.24 -0.25 -0.80 -1.13 -1.54 -1.20 -1.21 -1.55 -0.60 -0.06  0.36 -0.68
1968 -0.65 -0.19  0.08 -0.69 -0.79  0.14  0.44 -0.01  0.26 -0.18  0.03 -0.29
1969 -0.71 -1.22 -1.21 -1.07 -1.06  0.84 -0.37 -0.92 -1.07  0.95  0.58  1.13
1970  1.06  1.01  1.20  0.31 -0.89 -0.12 -0.92 -1.79 -1.68 -1.20 -0.92 -0.91
1971 -1.34 -1.45 -1.55 -1.70 -1.75 -1.86 -2.25 -0.32 -0.17 -0.35 -1.28 -1.77
1972 -2.12 -1.95 -1.53 -1.70 -2.16 -1.84 -1.48 -0.11 -0.20 -0.22 -0.05 -0.37
1973 -0.15 -0.55 -0.88 -1.35 -1.59 -1.44 -1.40 -1.56 -1.05 -1.36 -1.42 -0.89
1974 -0.86 -1.38 -1.21 -0.62 -0.72 -0.37  0.02 -0.27  0.71  0.19  0.61  0.27
1975 -0.65 -0.93 -1.07 -1.79 -2.08 -1.61 -0.84 -1.56 -1.60 -1.59 -1.73 -1.49
1976 -1.08 -1.01 -1.31 -1.38 -1.23 -1.26  0.28  0.97  0.58  1.12  1.33  1.20
1977  1.24  1.51  0.62 -0.25 -0.47  0.03 -0.06 -0.09 -0.64 -0.84 -0.45 -0.06
1978  0.58  0.78  1.13  1.03  0.77  0.33 -1.62 -0.91 -0.78  0.07 -0.01 -0.51
1979 -0.38 -1.29 -0.68 -0.12  0.57  0.22  0.30  0.05  0.88  1.10  0.58  0.06
1980  0.06  0.58  0.62  0.78  0.64 -0.72 -0.21  0.08 -0.13  0.99  0.71  0.30
1981  1.18  1.24  1.22  1.07  1.29  1.82  0.82 -0.05  0.43 -0.09  0.54  0.59
1982  0.11 -0.19 -0.37 -0.70 -1.21 -0.99  0.12 -0.08  0.51  0.15 -0.60  0.16
1983  0.40  0.97  1.73  1.26  1.01  1.90  2.47  1.18  0.47  0.68  1.19  1.72
1984  1.42  1.23  1.56  1.00  0.87 -0.13 -0.35  0.01  0.18  0.43  0.54  0.48
1985  0.87  0.48 -0.34 -0.52 -0.87  0.04  0.52  0.19  0.13  0.14 -0.65  0.33
1986  1.04  1.47  1.68  1.21  0.85  0.62  1.05 -0.19 -0.03  1.00  1.68  1.71
1987  1.47  1.46  1.35  1.38  0.82  0.05  1.38  1.74  1.44  0.68  0.93  0.94
1988  0.23  0.47  0.49  0.34  0.37  0.21 -0.15 -0.88 -0.98 -0.36 -0.06 -0.14
1989 -1.24 -1.45 -1.24 -0.32 -0.09  0.11  0.56 -0.44 -0.57 -0.51 -0.76 -0.10
1990 -0.42 -1.28 -1.24 -0.15 -0.32 -0.25 -0.31 -0.43 -0.26 -1.16 -1.88 -2.22
1991 -1.80 -1.09 -1.11 -1.63 -1.65 -2.25 -1.57 -0.58  0.37  0.41  0.56 -0.21
1992  0.08  0.17  0.12  0.55  1.26  1.22  1.50  0.85  0.45  1.28  1.31  0.33
